Symbol,Name,Last,Change,%Chg,Opinion,Previous,"Last Week","Last Month"
SHW,"Sherwin-Williams Company",383.47,3.57,+0.94%,"88% Buy","88% Buy","88% Buy","8% Sell"
GS,"Goldman Sachs Group",246.02,-0.04,-0.02%,"96% Buy","100% Buy","96% Buy","88% Sell"
HII,"Huntington Ingalls Industries",235.83,1.67,+0.71%,"96% Buy","96% Buy","100% Buy","40% Buy"
STZ,"Constellation Brands Inc",210.11,0.86,+0.41%,"100% Buy","96% Buy","16% Buy","100% Buy"
LFUS,"Littelfuse Inc",204.1,4.04,+2.02%,"100% Buy","100% Buy","100% Buy","64% Buy"
IPGP,"Ipg Photonics Corp",192.83,1.7,+0.89%,"100% Buy","100% Buy","72% Buy","96% Buy"
ABMD,"Abiomed Inc",174.88,1.23,+0.71%,"100% Buy","100% Buy","100% Buy","88% Buy"
UNF,"Unifirst Corp",156.2,1.15,+0.74%,"96% Buy","96% Buy","100% Buy","40% Buy"
LGND,"Ligand Pharm",141.61,1.47,+1.05%,"100% Buy","100% Buy","64% Buy","100% Buy"
MSCI,"MSCI Inc",121.28,0.18,+0.15%,"100% Buy","100% Buy","96% Buy","88% Buy"
RHT,"Red Hat Inc",117.06,1.54,+1.33%,"100% Buy","100% Buy","100% Buy","96% Buy"
VRSN,"Verisign Inc",109.92,1,+0.92%,"100% Buy","100% Buy","100% Buy","96% Buy"
CW,"Curtiss-Wright Corp",109.66,3.2,+3.01%,"100% Buy","96% Buy","88% Buy","56% Buy"
AVXS,"Avexis Inc",103.71,5.07,+5.14%,"100% Buy","72% Buy","64% Buy","16% Buy"
CMPR,"Cimpress N.V. Ord",103.23,1.35,+1.33%,"100% Buy","96% Buy","88% Buy","64% Buy"
OSIS,"O S I Systems Inc",95.67,2.29,+2.45%,"96% Buy","96% Buy","100% Buy","88% Buy"
PEN,"Penumbra Inc",94.2,1,+1.07%,"100% Buy","100% Buy","100% Buy","64% Buy"
USLM,"U S Lime & Mineral",87.53,2.93,+3.46%,"100% Buy","96% Buy","100% Buy","48% Buy"
APH,"Amphenol Corp",86.58,0.28,+0.32%,"100% Buy","100% Buy","100% Buy","88% Buy"
TEL,"Te Connectivity Ltd",86.23,0.15,+0.17%,"100% Buy","100% Buy","96% Buy","8% Buy"
SAFT,"Safety Ins Group Inc",79.6,0.65,+0.82%,"96% Buy","96% Buy","100% Buy","48% Sell"
C,"Citigroup Inc",75.64,-0.08,-0.11%,"96% Buy","100% Buy","96% Buy","48% Sell"
AAAP,"Advanced Accele. Ads",70.71,1.53,+2.21%,"96% Buy","96% Buy","100% Buy","88% Buy"
PAYX,"Paychex Inc",63.62,0.37,+0.58%,"88% Buy","88% Buy","80% Buy","8% Buy"
LDOS,"Leidos Holdings Inc",61.75,0.22,+0.36%,"100% Buy","100% Buy","96% Buy","88% Buy"
